participant,abs_seq,start,end,duration,delay,block,block_seq,exec_time
134146,134,2019-11-15 19:35:28.391000+00:00,2019-11-15 19:35:34.924000+00:00,0 days 00:00:06.533000,0 days 00:00:02.175000,17,1,0 days 00:00:02.244000
134146,135,2019-11-15 19:35:34.924000+00:00,2019-11-15 19:35:41.460000+00:00,0 days 00:00:06.536000,0 days 00:00:02.175000,17,2,0 days 00:00:02.486000
134146,136,2019-11-15 19:35:41.460000+00:00,2019-11-15 19:35:47.995000+00:00,0 days 00:00:06.535000,0 days 00:00:02.175000,17,3,0 days 00:00:02.262000
134146,137,2019-11-15 19:35:47.995000+00:00,2019-11-15 19:35:56.704000+00:00,0 days 00:00:08.709000,0 days 00:00:02.175000,17,4,0 days 00:00:05.326000
134146,138,2019-11-15 19:35:56.704000+00:00,2019-11-15 19:36:05.440000+00:00,0 days 00:00:08.736000,0 days 00:00:02.175000,17,5,0 days 00:00:05.335000
134146,139,2019-11-15 19:36:05.440000+00:00,2019-11-15 19:36:14.176000+00:00,0 days 00:00:08.736000,0 days 00:00:02.175000,17,6,0 days 00:00:05.526000
134146,140,2019-11-15 19:36:14.176000+00:00,2019-11-15 19:36:20.733000+00:00,0 days 00:00:06.557000,0 days 00:00:02.175000,17,7,0 days 00:00:02.861000
134146,141,2019-11-15 19:36:20.733000+00:00,2019-11-15 19:36:27.264000+00:00,0 days 00:00:06.531000,0 days 00:00:02.175000,17,8,0 days 00:00:02.651000
134146,142,2019-11-15 19:36:27.264000+00:00,2019-11-15 19:36:38.152000+00:00,0 days 00:00:10.888000,0 days 00:00:02.175000,17,9,0 days 00:00:07.363000
134146,143,2019-11-15 19:36:38.152000+00:00,2019-11-15 19:36:44.716000+00:00,0 days 00:00:06.564000,0 days 00:00:02.175000,17,10,0 days 00:00:02.240000
134146,144,2019-11-15 19:36:44.716000+00:00,2019-11-15 19:36:51.248000+00:00,0 days 00:00:06.532000,0 days 00:00:02.175000,17,11,0 days 00:00:02.349000
